,Sex,Bwt,Hwt
0,F,2.0,7.0
1,F,2.0,7.4
2,F,2.0,9.5
3,F,2.1,7.2
4,F,2.1,7.3
5,F,2.1,7.6
6,F,2.1,8.1
7,F,2.1,8.2
8,F,2.1,8.3
9,F,2.1,8.5
10,F,2.1,8.7
11,F,2.1,9.8
12,F,2.2,7.1
13,F,2.2,8.7
14,F,2.2,9.1
15,F,2.2,9.7
16,F,2.2,10.9
17,F,2.2,11.0
18,F,2.3,7.3
19,F,2.3,7.9
20,F,2.3,8.4
21,F,2.3,9.0
22,F,2.3,9.0
23,F,2.3,9.5
24,F,2.3,9.6
25,F,2.3,9.7
26,F,2.3,10.1
27,F,2.3,10.1
28,F,2.3,10.6
29,F,2.3,11.2
30,F,2.4,6.3
31,F,2.4,8.7
32,F,2.4,8.8
33,F,2.4,10.2
34,F,2.5,9.0
35,F,2.5,10.9
36,F,2.6,8.7
37,F,2.6,10.1
38,F,2.6,10.1
39,F,2.7,8.5
40,F,2.7,10.2
41,F,2.7,10.8
42,F,2.9,9.9
43,F,2.9,10.1
44,F,2.9,10.1
45,F,3.0,10.6
46,F,3.0,13.0
47,M,2.0,6.5
48,M,2.0,6.5
49,M,2.1,10.1
50,M,2.2,7.2
51,M,2.2,7.6
52,M,2.2,7.9
53,M,2.2,8.5
54,M,2.2,9.1
55,M,2.2,9.6
56,M,2.2,9.6
57,M,2.2,10.7
58,M,2.3,9.6
59,M,2.4,7.3
60,M,2.4,7.9
61,M,2.4,7.9
62,M,2.4,9.1
63,M,2.4,9.3
64,M,2.5,7.9
65,M,2.5,8.6
66,M,2.5,8.8
67,M,2.5,8.8
68,M,2.5,9.3
69,M,2.5,11.0
70,M,2.5,12.7
71,M,2.5,12.7
72,M,2.6,7.7
73,M,2.6,8.3
74,M,2.6,9.4
75,M,2.6,9.4
76,M,2.6,10.5
77,M,2.6,11.5
78,M,2.7,8.0
79,M,2.7,9.0
80,M,2.7,9.6
81,M,2.7,9.6
82,M,2.7,9.8
83,M,2.7,10.4
84,M,2.7,11.1
85,M,2.7,12.0
86,M,2.7,12.5
87,M,2.8,9.1
88,M,2.8,10.0
89,M,2.8,10.2
90,M,2.8,11.4
91,M,2.8,12.0
92,M,2.8,13.3
93,M,2.8,13.5
94,M,2.9,9.4
95,M,2.9,10.1
96,M,2.9,10.6
97,M,2.9,11.3
98,M,2.9,11.8
99,M,3.0,10.0
100,M,3.0,10.4
101,M,3.0,10.6
102,M,3.0,11.6
103,M,3.0,12.2
104,M,3.0,12.4
105,M,3.0,12.7
106,M,3.0,13.3
107,M,3.0,13.8
108,M,3.1,9.9
109,M,3.1,11.5
110,M,3.1,12.1
111,M,3.1,12.5
112,M,3.1,13.0
113,M,3.1,14.3
114,M,3.2,11.6
115,M,3.2,11.9
116,M,3.2,12.3
117,M,3.2,13.0
118,M,3.2,13.5
119,M,3.2,13.6
120,M,3.3,11.5
121,M,3.3,12.0
122,M,3.3,14.1
123,M,3.3,14.9
124,M,3.3,15.4
125,M,3.4,11.2
126,M,3.4,12.2
127,M,3.4,12.4
128,M,3.4,12.8
129,M,3.4,14.4
130,M,3.5,11.7
131,M,3.5,12.9
132,M,3.5,15.6
133,M,3.5,15.7
134,M,3.5,17.2
135,M,3.6,11.8
136,M,3.6,13.3
137,M,3.6,14.8
138,M,3.6,15.0
139,M,3.7,11.0
140,M,3.8,14.8
141,M,3.8,16.8
142,M,3.9,14.4
143,M,3.9,20.5
